Beer Name,Brewery,Style,ABV,Min IBU,Max IBU,Bitter,Sweet,Sour,Salty,Fruits,Spices,Malty,Review,Description
Celebration Fresh Hop IPA,Sierra Nevada Brewing Co.,IPA,6.8,50,70,66,28,24,0,25,5,47,4.17,"Notes:Fresh Hop Ale; no spices.We first brewed Celebration IPA in the winter of 1981. Each year, we use only the first fresh hops of the growing season to create this complex and robust ale. Layered pine and citrus hop aromas balance delicately against rich, malt sweetness to shape this bold wintertime classic.\t"
A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company,IPA,7.5,50,70,58,23,56,1,69,2,65,4.22,"Notes:Brewed with 50% wheat malt; Willamette, Santiam, Amarillo, Cascade, Centennial, Chinook, and Columbus hops. This special ale is something fairly new under the sun. It's got a lot of wheat, it's rich with hops, it finishes dry. We've watched with some amusement as the internet beer rating sites argues over how to 'classify' it. We're in the camp with Japhy Ryder when he declares to Ray Smith that ""Comparisons are odious!"" You ever notice how everything has to be today's version of yesterday's whatever. Well, whatEver. Sometimes we wonder what the world would be like if everything was perceived for what it is, and not what it reminds you of. The sun would rise everyday as if for the first time, you'd wake as if newly born, you'd see your lover next to you anew, the air would smell like flowers, work would be like the first day back in school, a beer would make your eyes roll back in your head in ecstasy... well, maybe not... but you get the idea.....Way smooth and silky with a nice wheatly-esque-ish-ness. A truly unique style featuring a strong hop finish on a silky body. A hoppy pale wheat ale that is great for IPA fans but so smooth that the hefeweizen fans dig it too.64 IBU\t"
Jai Alai IPA,Cigar City Brewing,IPA,7.5,50,70,44,35,58,0,73,10,33,4.12,"Notes:Jai Alai, a game native to the Basque region of Spain, is played on a court called a fronton. Jai Alai players attempt to catch a ball using a curved mitt whilst the ball travels at speeds up to 188 mph! Proving they have a sense of humor the Spanish dubbed this game, with its ball traveling at race car speeds, ""the merry game."" Tampa was once home to a bustling Jai Alai fronton but sadly all that remains of Jai Alai in the Tampa Bay area is this India Pale Ale that we brew in tribute to the merry game. The India Pale Ale style of beer has its roots in the ales sent from England to thirsty British troops in India during the 18th century. Pair Jai Alai India Pale Ale with beef empanadas, deviled crabs and other spicy dishes.65 IBU\t"
Centennial IPA,Founders Brewing Company,IPA,7.2,50,70,64,30,37,0,47,4,44,4.15,"Notes:Get ready to bask in the glory of the frothy head’s floral bouquet. Relish the citrus accents from the abundance of dry hopping. This one’s sweet, yet balanced. Malty undertones shake hands with the hop character for a finish that never turns too bitter.65 IBU\t"
All Day IPA,Founders Brewing Company,IPA,4.7,50,70,38,16,24,1,30,1,25,4.1,"Notes:The beer you’ve been waiting for. Keeps your taste satisfied while keeping your senses sharp. An all-day IPA naturally brewed with a complex array of malts, grains and hops. Balanced for optimal aromatics and a clean finish. The perfect reward for an honest day’s work and the ultimate companion to celebrate life’s simple pleasures.Formerly Endurance - All Day IPA.\t"
HopDevil,Victory Brewing Company,IPA,6.7,50,70,61,42,26,0,30,10,69,4.11,"Notes:Bold, spicy and menacingly delicious, this American-hopped IPA offers an aromatic punch and follows through with a lasting, full-bodied finish\t"
Blind Pig,Russian River Brewing Company,IPA,6.3,50,70,80,38,69,4,94,1,33,4.36,"Notes:Full-bodied, very hoppy, with citrus, pine, fruity notes and a nice dry, bitter finish!Original Gravity: 1.058Color: CopperBitterness: Medium\t"
Furious,Surly Brewing Company,IPA,6.7,50,70,57,45,48,0,54,3,61,4.34,"Notes:A tempest on the tongue, or a moment of pure hop bliss? Brewed with a dazzling blend of American hops and Scottish malt, this crimson-hued ale delivers waves of citrus, pine and caramel-toffee. For those who favor flavor, Furious has the hop-fire your taste buds have been screaming for.\t"
Lunch,Maine Beer Company,IPA,7,50,70,64,56,79,0,97,5,49,4.33,"Notes:Our “East Coast” version of a West Coast-style IPA. Intense hop flavors and aromas of tropical and citrus fruits and pine dominate. A subtle malt sweetness brings the beer into balance.Lunch is a special whale that has been spotted off the Maine coast since 1982. She has what looks like a bite taken out of her fin, which adds to her unique character. We dedicate this beer to her determination and persistence.Keep on swimming!\t"
Fresh Squeezed IPA,Deschutes Brewery,IPA,6.4,50,70,62,46,54,1,67,3,41,3.5,"Notes:This mouthwateringly delicious IPA gets its flavor from a heavy helping of Citra and Mosaic hops. Don't worry, no fruit was harmed in the making of this beer.60 IBU\t"
Flower Power India Pale Ale,Ithaca Beer Company,IPA,7.2,50,70,44,38,38,1,61,0,35,4.15,Notes:Enjoy the clover honey hue and tropical nose. Simultaneously punchy and soothing with a big body and a finish that boasts pineapple and grapefruit. Flower Power is hopped and dry-hopped five different times throughout the brewing and fermentation process.\t
"Smuttynose IPA ""Finest Kind""",Smuttynose Brewing Company,IPA,6.9,50,70,70,39,55,0,67,6,38,4.13,"Notes:You could say, then, that Smuttynose IPA is a physical salute to the glory of the American hop grower. The citrusy hop flavor coming from a mixture of Simcoe and Santiams is pleasantly balanced by a smooth bitterness from the Amarillo hops. The beer itself is light bodied and crisp with a golden color that will throw a slight haze, as we bottle it unfiltered. At 75 IBU's, this is definitely not a training-wheels IPA, but is meant for hop lovers looking to satisfy their craving in a way that's not easy to find. We think they’ll be quite pleased.75 IBU\t"
ApriHop,Dogfish Head Brewery,IPA,7,50,70,70,106,62,1,107,6,45,3.83,"Notes:Aprihop is an American IPA brewed with Pilsner and Crystal malts. It's massively hopped -- in the continuous fashion, of course! -- and the flavor is complemented by the addition of apricots.After fermentation, the beer is dry hopped with irresponsible amounts of Amarillo hops. The beer has a hoppy aroma, with the apricots playing a supporting role.The flavor is rich with late hop flavors, and its bitterness is tempered by just the right amount of malt sweetness and fruity undertones from the apricots.50 IBU\t"
Harvest Ale,Founders Brewing Company,IPA,7.6,50,70,75,32,44,0,60,3,31,4.21,"Notes:Each fall, our brewhouse looks more like a greenhouse as thousands of pounds of wet hop cones arrive within hours of being picked by some of our favorite local hop growers. Acting quickly, we then load up these wet hops into what will become Harvest Ale – an impossibly aromatic and bright IPA bursting with fresh pine, melon and citrus notes. Our ode to the beauty that is the wet, American hop.70 IBU\t"
Duet,Alpine Beer Company,IPA,7,50,70,60,31,56,1,77,6,27,4.37,"Notes:A soon-to-be favorite, if it's already not. This single IPA boasts pine, citrus, and cedar notes from Simcoe and Amarillo hops.\t"
Head Hunter,Fat Heads Brewery & Saloon,IPA,7.5,50,70,71,46,63,0,97,6,40,4.26,"Notes:Head Hunter is an aggressively dry-hopped, West Coast-style IPA with a huge hop display of pine, grapefruit, citrus and pineapple. A punch-you-in-the-mouth brew for those who truly love their hops! Uncivilized. Aggressive. Award-Winning.\t"
Hop Nosh IPA,Uinta Brewing Company,IPA,7.3,50,70,68,42,38,0,64,5,45,4.14,"Notes:Bold and refreshing, this IPA combines an abundance of hops with a smooth malt profile.82 IBU\t"
Big Eye,Ballast Point Brewing Company,IPA,7,50,70,68,42,53,2,68,4,43,4.33,Notes:
IPA,AleSmith Brewing Company,IPA,7.3,50,70,76,54,65,1,90,2,54,4.3,Notes:
Titan IPA,Great Divide Brewing Company,IPA,7.1,50,70,78,46,54,0,69,6,61,4.14,"Notes:Titan IPA is a big, aggressively hopped India Pale Ale brewed for hop disciples. It starts out with piney hop aromas and citrus hop flavors, and finishes with a nice rich, malty sweetness that is balanced with crisp hop bitterness.2007 European Beer Star, Nuremberg, Silver Medal, IPA2007 Australian International Beer Awards, Silver Medal, IPA2008 Australian International Beer Awards, Silver Medal, IPAFOOD PAIRINGS: Grilled lamb burger, Thai green curry, roasted zucchini & pesto, Cabot sharp cheddar, carrot cake.\t"
Nelson,Alpine Beer Company,IPA,7,50,70,60,50,85,2,128,13,49,4.37,"Notes:A Golden Rye IPA - An outstanding hop from New Zealand, Nelson Sauvin, is generously used throughout the brewing and dry-hopping of this unique beer. European rye is added for a smooth, malty addition to flavor. 1.065 OG 7% AB\t"
Samuel Adams Latitude 48 IPABoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams),IPA,6,50,70,53,21,43,1,47,4,34,3.81,Notes:
Hop Wallop,Victory Brewing Company,IPA,7.5,50,70,79,33,42,4,47,4,47,3.99,Notes:Citra and Simcoe Hops impart fruity and earthy notes for a new twist on a flavorful friend. This IPA packs a hoppy wallop.\t
75 Minute IPA,Dogfish Head Brewery,IPA,7.5,50,70,48,88,35,4,39,3,77,4.23,"Notes:Blend two Dogfish Head favorites, add maple syrup and carbonate the mixture naturally. What do you get? 75 Minute IPA.The carbon dioxide trapped during bottle conditioning gives 75 Minute IPA a soft and velvety mouthfeel. Dry-hopped with whole-leaf Cascades, this complex IPA has been known to inspire pilgrimages to our brewpub.\t"
Northern Hemisphere Harvest Wet Hop IPA,Sierra Nevada Brewing Co.,IPA,6.7,50,70,68,45,36,1,41,5,61,4.24,Notes:Formerly Northern Hemisphere Harvest Wet Hop Ale\t
IPA,SweetWater Brewing Company,IPA,6.3,50,70,75,57,58,1,86,12,59,4.15,"Notes:This mammoth IPA is defined by generous quantities of juicy American hops. The extensive dry hopping process contributes to its bright and flavorful character. This beer is unfiltered to leave all the natural flavors intact and bottle conditioned to stay super fresh.Malt Bill: Munich, Wheat, 2-Row, 70/80Hops: Columbus, Chinook, Cascade, Simcoe, GoldingDry Hop: Simcoe, US Golding50 IBU\t"
Hopsecutioner,Terrapin Beer Company,IPA,7.3,50,70,78,24,23,2,29,2,34,3.9,Notes:This Killer IPA earns its name by using six different types of hops while still remaining an aggressive well balanced beer.\t
Anchor Liberty Ale,Anchor Brewing Company,IPA,5.9,50,70,67,27,51,0,61,4,47,4.1,"Notes:The champagne-like bubbles, distinctive hop bouquet, and balanced character of Liberty Ale® revives centuries-old ale brewing traditions that are now more relevant than ever.\tFirst introduced in 1975, Liberty Ale® is brewed strictly according to traditional craft brewing methods, and uses only natural ingredients — pale malted barley, fresh whole-cone Cascade hops and a special top-fermenting yeast, and water.The yeast used during fermentation produces many of Liberty Ale's subtle flavors and characteristics. A natural process called ""bunging"" creates gentle carbonation, and the practice of dry hopping (adding fresh hops to the brew during aging), revived by Anchor, creates its unique aroma.Liberty Ale® was first brewed to celebrate the bicentennial of Paul Revere’s historic ride. As the first modern American IPA brewed after prohibition and the first modern American single-hop ale and dry-hopped ale, Anchor’s Liberty Ale® is the original craft brewed ale and the historic beer that started a revolution.\t"
Snake Dog,Flying Dog Brewery,IPA,7.1,50,70,53,31,61,0,76,7,25,3.62,"Notes:A potent snakebite of Citra, Mosaic, Warrior, Simcoe, and Columbus hops (more than 2lbs per barrel) gives this beer its citrus-forward superpower. Orange and tropical fruit aromas temper slightly-piney crispness, turning Snake Dog into a more complex breed of West Coast IPA. You’ll find Snake Dog bites hardest when paired with peppery cheeses, curries, and mild Thai dishes whose names you can’t pronounce properly.60 IBU\t"
Deviant Dale's IPA,Oskar Blues Grill & Brew,IPA,8,50,70,71,44,48,0,55,14,75,3.97,Notes:
Brew Free Or Die IPA,21st Amendment Brewery,IPA,7,50,70,40,25,32,0,44,0,30,3.89,"Notes:BREW FREE! OR DIE IPA is brewed with some serious west coast attitude. This aromatic golden IPA starts with three different hops to the nose, quickly balanced by a solid malt backbone supporting the firm bitterness. Our top selling beer at the pub, this IPA starts big and finishes clean leaving you wanting more.\t"
Crooked Tree IPA,Dark Horse Brewing Company,IPA,6.5,50,70,77,48,62,0,80,2,74,3.98,"Notes:Inspired by West Coast I.P.A.'s, but brewed with Michigan style. The Crooked Tree is heavily dry hopped to give it a big aroma of pine and citrus. The flavors are big, yet very balanced between fresh hops and malt. Often described as ""grapefruit"" our hops give this beer an excellent fruit flavor that finishes dry.\t"
IPA,Odell Brewing Company,IPA,7,50,70,84,76,88,1,138,7,49,4.25,"Notes:Pale and Vienna malts along with 9 different US hop varietiesWe took the traditional IPA, originally shipped from England to India in the 1700′s, and made it bolder and more flavorful—American Style. We added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incredible hop character.\t"
Hop Ottin' IPA,Anderson Valley Brewing Company,IPA,7,50,70,69,48,69,0,75,2,61,4.01,"Notes:Our Hop Ottin’ IPA is brewed and dry-hopped with copious amounts of Columbus and Cascade. This beer is a showcase of the bright citrusy aromas, bold grapefruit and pine-like flavors, and resiny bitterness that hop heads crave. With a brilliant, deep amber color and solid malt backbone, hints of citron, roses, and bergamot climax with a dry, herbal finish in this well-balanced interpretation of a West Coast IPA.\t"
India Pale Ale (IPA),Avery Brewing Company,IPA,6.5,50,70,53,33,49,3,56,3,41,3.94,"Notes:A Colorado IPA with crisp, juicy, and resinous hops and a rich, malty finish.IBUs: 65\t"
Raging Bitch,Flying Dog Brewery,IPA,8.3,50,80,63,39,57,0,70,29,40,3.97,"Notes:Two inflammatory words...one wild drink. Nectar imprisoned in a bottle. An anything-but-delicate blend of sharp hoppiness and fruity aroma, this beer is a life-changing backyard knife-fight for your palate. Once you’ve had a Raging Bitch, everything else pales in comparison. Fermented with a volcano-like Belgian yeast strain called “El Diablo,” Raging Bitch earned its polarizing name from the aggressively active nature of the yeast—unleashed, untamed, unbridled...and in heat. Enjoy its golden glow and white foaming head alongside bold flavors like spicy BBQ wings, blue cheese salads, or that bag of family-sized Cool Ranch Doritos you’re going to destroy later while binge-watching Netflix.Malts: CaramelHops: Warrior, Columbus, AmarilloYeast: Belgian (El Diablo)IBU: 60\t"
A Little Sumpin' Wild,Lagunitas Brewing Company,IPA,8.8,50,80,53,41,69,0,62,9,26,4.08,Notes:Fermented with the Westmalle yeast strain72.51 IBU\t
Houblon Chouffe Dobbelen IPA Tripel,Brasserie d'Achouffe,IPA,9,50,80,82,79,69,1,93,36,46,4.18,"Notes:The gnomes of Fairyland may be little, but they have big, very big, personalities. HOUBLON CHOUFFE matches their impish spirits. All gnomes, with their innate good taste, are in full agreement about HOUBLON CHOUFFE, which is flavoured by three different types of hops. This India Pale Ale is appreciated for its pronounced bitterness combined with the fruity tones of traditional Achouffe beers: it softens the strongest of characters.\t"
Green Flash Le Freak,Green Flash Brewing Co.,IPA,9.2,50,80,75,65,76,2,83,24,50,3.92,"Notes:Le Freak® is the first-ever hybrid ale of its kind: the convergence of a Belgian-Style Trippel with an American Imperial IPA. This zesty Amarillo dry-hopped, bottle-conditioned marvel entices with fruity Belgian yeast aromatics and a firm, dry finish. Aromas of orange and passion fruit with sweet bready malts, and flavors of orange marmalade and citrus fruit pith. Experience a legendary beer.\t"
Chainbreaker White IPA,Deschutes Brewery,IPA,5.5,50,80,47,21,61,0,75,22,22,3.67,Notes:
Citra Bitter Monk,Anchorage Brewing Company,IPA,9,50,80,57,56,138,2,133,26,23,4.31,"Notes:Belgian style double IPA with Brettanomyces. this ale is aged in french oak chardonnay barrels. Brewed with Apollo, Citra, and Simcoe hops. Dry hopped in the barrel with Citra hops. Triple fermented- First in the tank with a Belgian yeast, second in french oak chardonnay barrels with brett, and finally in the bottle with a third yeast for natural carbonation.100 IBU\t"
Hugh Malone,Allagash Brewing Company,IPA,6.8,50,80,88,53,75,1,85,26,53,3.84,"Notes:Hugh Malone begins with a grain bill featuring a blend of Maine grown barley, imported Pilsner, and raw wheat malt. At the beginning of run off, we add a portion of hops to the sweet wort in the kettle; a technique known as ""first wort hopping"". As the boil begins, a generous amount of Chinook hops are added for bittering. Later, in the whirlpool, the beer is hopped with a blend of Centennial and Amarillo, for aroma. This same blend is used, post fermentation, to lend additional hop character to the finished beer. The result is a complex brew with a malty palate, intense hop aromas, pronounced bitterness and a pleasantly dry finish.\t"
Urthel Hop-ItDe Leyerth Brouwerijen (Urthel),De Leyerth Brouwerijen (Urthel),IPA,9.5,50,80,73,64,55,0,71,18,34,3.92,Notes:
Otter Creek Fresh Slice,Otter Creek Brewing / Wolaver's,IPA,5.5,50,80,32,13,70,0,72,26,21,3.92,"Notes:A summer sipper built for lawn chairs, lawn games and lawn mowing, Fresh Slice features the spicy, estery flavor profile of Belgian yeast laced with the juicy hop flavors and aromas of American hops. This White IPA recipe tips the scales with a slice of clementine, a hit of coriander and an 1/8th of...wait, what? This one features a crisp, fresh citrus ripeness deriving from additions of clementine juice and sweet orange peel in the brew process. The first Otter Creek can offering, this is one slice you'll be holding all summer long!\t"
Bedlam,Ale Asylum,IPA,7.4,50,80,89,54,84,0,107,31,33,4.21,Notes:Bedlam! A chaotic blend of Citra hops and Belgian yeast give this IPA aromas of summer fruits and a bright hop presence with a plush finish.\t
Gouden Carolus Hopsinjoor,Brouwerij Het Anker,IPA,8,50,80,53,50,39,0,57,22,25,4.03,Notes:
Dernière Volonté,Brasserie Dieu Du Ciel,IPA,7,50,80,61,55,80,0,85,34,32,3.99,"Notes:The Last Will is born from a meeting between the Belgian and British brewing traditions. It has a complex nose of flowers and alcohol, supported by slightly fruity and malty flavors, all topped by a strong hop bouquet. In the mouth it is spicy and fruity hints and a discrete touch of alcohol. In the final, hops up the rear with force.\t"
The Audacity Of Hops,Cambridge Brewing Company,IPA,8,50,80,68,45,81,1,82,22,38,4.1,Notes:Belgian Double IPA.\t
Saranac White IPA,Matt Brewing Company,IPA,6,50,80,72,21,89,0,86,28,44,4.08,Notes:
Smuttynose Homunculus (Big Beer Series),Smuttynose Brewing Company,IPA,9.4,50,80,61,103,78,0,109,31,45,3.8,"Notes:This hoppy, Belgian-style golden ale first appeared in early 2007 as the first edition of our Short Batch Series. At that time, we called it the Gnome, an homage to Brasserie d'Achouffe.45 IBU2011 - 9.9%\t"
Triomphe Belgian IPA,Brewery Vivant,IPA,6.5,50,80,55,24,41,0,41,6,17,3.87,Notes:
Hopus,Brasserie Lefèbvre SA,IPA,8.3,50,80,39,38,38,0,39,21,39,3.73,Notes:
HopAnomaly - Reserve Series Aged In French Oak Chardonnay Barrels,Nebraska Brewing Company,IPA,10.6,50,80,65,74,107,3,130,22,31,3.92,"Notes:An artful creation which began with our HopAnomaly Belgian-Style IPA, enhanced by a 6 month maturation in French Oak Chardonnay Barrels. This version of Hop God is a fascinating, big, bold Belgian-style Tripel hopped in very high amounts to concentrate citrus, grapefruit and floral aromatics in the nose. The addition of Chardonnay barrel aging adds further dimension and oak tannins to an already wonderfully complex Ale – bringing to mind tropical fruits and peach. We know of nothing that compares – enjoy!87 IBU\t"
Simcoe Silly,Kuhnhenn Brewing Company,IPA,9,50,80,61,82,76,1,111,35,44,3.84,"Notes:This Pale American Belgo style beer was 2010 GABF’s silver medal winner. It has notes of spicy pineapple, mango bubblegum aromas which comes from the unique marriage of a special Belgian yeast and an American Simcoe hop. This beer has an initial soft malt sweetness with orange fruitiness and finishes with a hoppy dryness.\t"
Pan Galactic Gargle Blaster,Short's Brewing Company,IPA,10.2,50,80,86,63,85,0,130,29,40,3.75,"Notes:Pan Galactic Gargle Blaster is a Belgian-style Double IPA brewed with Australian Galaxy hops. The nose is an impressive dank blend of citrus aromas reminiscent of guava and lemons, very green and fresh with subtle Belgian yeast esters. An intense clean bitterness dominates the flavor profile with little malt character to compete with. A slight, fruity yeast sweetness is noticeable in the finish alongside a resounding bitterness.\t"
White IPA,Blue Point Brewing Company,IPA,6,50,80,76,30,61,0,77,56,36,3.96,Notes:
Hoppy Daze IPA,Coronado Brewing Company,IPA,9,50,80,57,34,68,1,73,37,37,3.87,Notes:
Hop Wrangler,Peace Tree Brewing Co.,IPA,6.3,50,80,105,56,61,2,69,14,58,3.88,"Notes:Joe’s multinational take on a classic IPA. IPA’s are known for their intense hop bitterness, flavor and aromas. First, Joe used American and English malt, then American and English hops are added during the mash, first wort, boil, and finally it’s dry hopped for aroma. Belgium gets involved with the yeast and a special candy sugar finish for smoothness and flavor.\t"
Gaspar Ale,Picobrouwerij Alvinne / Den Bierzolder,IPA,8,50,80,71,66,84,1,95,25,44,3.57,Notes:
White Birch Hooksett Ale,White Birch Brewing,IPA,7.7,50,80,62,66,55,2,70,26,60,3.97,"Notes:Inspired by our love of Belgian ales and hoppy West Coast ales. We bring Cascade and Columbus hops together with our house yeast for a smooth Belgian style hopfest. Best when fresh, this beer is not intended for aging.\t"
Aldebaran,Kuhnhenn Brewing Company,IPA,10.3,50,80,89,145,77,0,111,58,100,4.05,"Notes:A very hoppy citrus nose leads this beer, with low malt and high hops in flavor. The Belgian yeast leaves the palate creamy instead of dry. This is an awe-some beer for Belgian and hop fans alike.\t"
Back In Black,21st Amendment Brewery,IPA,6.8,50,70,95,23,19,0,20,11,91,3.7,Notes:ABV varies around 7%.65 IBU\t
Yakima Glory,Victory Brewing Company,IPA,8.7,50,70,103,52,43,0,61,10,85,3.88,"Notes:According to the brewery's website: ""A dark IPA"".Available November to January.\t"
Snow Day Winter Ale,New Belgium Brewing,IPA,6.2,50,70,82,48,20,0,19,6,78,3.7,"Notes:Pleasantly hoppy, Snow Day carries the subtle chocolate and caramel flavors of a new brewing malt known as Midnight Wheat. The Styrian Golding, Centennial and Cascade hops bring the backbone of hoppy bitterness to complement the roasty undertones. This beer is the deep garnet of a roasted walnut and presents a creamy tan head, floating artfully atop. Snow Day is bold and hoppy, drinkable and strong.\t"
Hoppy Feet,Clown Shoes,IPA,7,50,70,82,33,9,0,9,5,70,3.89,Notes:
Hop In The Dark Cascadian Dark Ale,Deschutes Brewery,IPA,6.9,50,70,144,58,64,0,86,12,115,4.03,"Notes:An India Black Ale.Available - May to SeptemberAlc. by Vol. - 6.5% (2010), 6.9% (2011)IBUs - 75\t"
Reserve Special Black Ale,Dark Horse Brewing Company,IPA,7.5,50,70,68,44,7,0,13,9,101,3.93,"Notes:Conceived in a dimly lit room on a blistery cold night in the Upper Peninsula of Michigan, but born and raised here in Marshall Michigan. The Reserve Special is the oldest of all beers in the Dark Horse family. It has an incredibly “thick” presence and when poured into a glass its color is so dark it’s eerie. The flavors explode onto your taste buds with heavy malt, roast, and chocolate, but stay very balanced. The Reserve Special Black Ale has a hard time being called a stout or porter but it fits nicely into the category of a delicious strong black ale.\t"
Pitch Black IPA,Widmer Brothers Brewing Company,IPA,6.5,50,70,84,29,18,0,15,8,73,3.85,"Notes:Originally brewed as a 2010 one-time release called W'10, now a seasonal called simply 'Pitch Black IPA'availability: January - Aprilbitterness: 65 IBUalcohol by volume: 6.5%original gravity: 16° PLATOMalts:Two Row Pale, Caramel 10 L, Special Roast, Carafa Special IIHops:Bittering: AlchemyAroma: Alchemy, CascadesDry Hop: Cascade T-45\t"
Heavy Seas Black Cannon,Heavy Seas Beer,IPA,7.3,50,70,145,71,42,0,70,11,121,3.86,Notes:
Anger,Greenbush Brewing Company,IPA,7.6,50,70,79,29,27,0,25,3,61,4.38,Notes:
Black Racer,Bear Republic Brewing Co.,IPA,8.1,50,70,148,65,43,0,54,14,134,4.17,Notes:Black Racer™ blends Bear Republic's love of hops with the Pacific Northwest's appreciation for dark ales. Our pit crew brews this award winning ale which boldly defines a new frontier of flavors and always maintains pole position. Race to the Dark Side™.Bronze 2011 Great American Beer Festival American-Style Black AleGold 2012 World Beer Cup American-Style Black Ale\t
Hop Strike Black IPA,Tommyknocker Brewery,IPA,6.5,50,70,101,44,19,1,23,18,126,3.9,Notes:Hop Strike is a dry hopped black rye IPA. The beer is characterized by an intermingling of spicy citrus hops and chocolate malt. Substantial 78 IBUs are balanced by roasted rye resulting in a nice depth of malt character and deep color.\t
Toxic Sludge,Blue Point Brewing Company,IPA,7,50,70,120,59,17,4,22,5,109,3.86,"Notes:While birds of a feather stick together, their wings should not. We blew our cap seeing images of oilslick seabirds and thinking about what may happen to more of our fine, feathered-friends as they migrate south this fall, so we hatched this flighty idea for a specialty brew called 'Toxic Sludge'.All of the proceeds will benefit Tri-State Bird Rescue & Research's ""Spreading Our Wings"" campaign and their efforts to build a Wildlife Response Annex. To learn more, please visit: www.tristatebird.orgIn times of crisis (like this) we figure you can either hibernate or participate.Try this tasty, dry-hopped black IPA. It's as smooth as water off a duck's back. So everytime you drink one, please let out a loud squawk in honor of our beautiful, beaked brethen.We hope you can dig deep in your hearts (and pockets) to help support the effort.Be Well,Mark & Pete\t"
James Black Ale,Hill Farmstead Brewery,IPA,6.8,50,70,113,51,44,0,57,3,90,4.24,"Notes:James was our Uncle (Edward James Hill Jr.). Hill Farmstead Brewery rests upon the land that was once home to him and his four siblings. In his honor, this Black Ale is dutifully crafted from American and German malted barley, American hops, our ale yeast, and water from James’ well. It is unfiltered, naturally carbonated, and dry hopped. Roasty and smooth, with accents of chocolate and a balanced hoppy finish, this is the ale that I dream to have shared with James.Pale and Caramel Malt; Roasted Barley; Centennial and Columbus hops; Ale Yeast, and our Well Water.\t"
Damien,Surly Brewing Company,IPA,6.5,50,70,90,65,21,0,35,16,84,4.06,"Notes:From the blackest depths of the brewhouse comes Damien, Child of Darkness. Spawned from the usually discarded remnants of Darkness, Damien is a dry-hopped black ale with flavors of roasted malt and dark brown sugar. Tangerine and pine aromatics only add to its insidious appeal.\t"
Morimoto Black Obi Soba Ale,Rogue Ales,IPA,4.8,50,70,53,47,17,1,16,17,112,3.7,"Notes:12 Ingredients:Malts: Roasted Soba, Harrington, Metcalf, Munich, C-15, C-60 and Carafa Special No. 2Hops: Horizon, Sterling and Cascade. Yeast & Water: Rogue's Pacman Yeast & Free Range Coastal Water.12º PLATO30 IBU75 AA36º Lovibond\t"
Widow Maker Black Ale,Keweenaw Brewing Company,IPA,5.2,50,70,31,24,14,0,2,8,64,3.62,"Notes:Don't let its looks deceive you. Clean and smooth, easy on the hops and easy on the palate; this light bodied ale has a surprising depth of malt flavors with pleasant hints of a smoky molasses.\t"
Black Hatter,New Holland Brewing Company,IPA,5.5,50,70,113,63,70,0,77,8,104,3.68,Notes:
B-Craft Black,Arcadia Brewing Company,IPA,8.5,50,70,89,49,34,0,40,9,90,4.04,"Notes:Massive in every way, B-Craft delivers a complex bundle of flavors with citrus-hop aroma. Moving beyond the massive hop aroma, rich roasted malt flavors of coffee and chocolate move forward only to be checked by an impressive hop bitterness. Texture and flavor dance together so seamlessly that you may need to remind yourself that, while it drinks like a session, it delivers like an assassin.\t"
Hop Noir,Peak Organic Brewing Company,IPA,7.7,50,70,100,59,26,0,37,6,96,3.82,"Notes:Hop Noir is a delectable Black IPA, dripping with piney, aromatic Centennial hops. The malt base is dark and rich, anchored by organic black malt. This provides a strong foundation for the extravagant kettle hopping and dry-hopping that this beer experiences. Enjoy with a night-light.98 IBU\t"
Black Perle Dark India Pale Ale,RJ Rockers Brewing Company,IPA,9.5,50,70,114,70,16,0,18,18,111,3.88,"Notes:The first release in the ""Ales from the Dark Side"" series...A dark, roasted twist on the traditional IPA that uses an absurd amount of malt and is ""octo-hopped"" with the German Perle hop. The biggest beer in the RJ Rockers linup to date.\t"
Bludgeon Yer Eye PA,Short's Brewing Company,IPA,5,50,70,130,27,42,0,49,11,76,3.93,Notes:
NetherWorld Cascadian Dark Ale,Flying Monkeys Craft Brewery,IPA,6,50,70,124,46,41,0,53,13,111,3.92,Notes:Formerly known as Flying Monkeys Netherworld India Pale Porter.35 IBU\t
Foster,Hill Farmstead Brewery,IPA,6.5,50,70,106,34,29,0,31,6,112,4.36,"Notes:Foster is our Black Wheat IPA, brewed with a large percentage of malted wheat and hopped with our favorite American hop varieties.\t"
IPA,Harpoon Brewery,IPA,5.9,35,60,74,35,31,0,39,8,61,3.83,"Notes:We started brewing this beer as a summer seasonal in 1993. There were some great IPAs out in the Pacific Northwest, but no local IPAs on the east coast. We wanted to have a local IPA, so we brewed one. People absolutely loved it, and so did we. So we made it a year-round beer, and it’s now our bestselling beer and our flagship.Since its introduction, Harpoon IPA has remained unique in its ability to balance hop bitterness with a strong malt backbone. Dry-hopped with Cascade hops, it has a floral hop aroma and a finish that is bitter (it is an IPA after all!) without being harsh or astringent. Combined with a malty sweetness and the fruity esters of our proprietary yeast, those hops create a beer that is wonderfully hoppy but clean and refreshing enough to enjoy a few of - and we hope you do.42 IBU\t"
